门店编码	美团门店id	门店名称	地址	省级分部描述	门店类型描述	电话	负责人电话	市级分部描述	城市描述	管理地区	片区	更新时间	开店日期	关店日期	经度	纬度
V2094	89083	会泽翠屏街分店	会泽县通宝路翠屏街环岛处（现通宝路139号）	云南分部	便利店	NULL	NULL	曲靖分部	会泽	曲靖北区	曲靖北区08	2022/7/26 14:21	2021/6/26 0:00		26.419146	103.307559
V2095	89683	牟定茅州古镇分店	云南省楚雄州牟定县共和镇新南路茅州古镇一期A地块A3栋A3-102、103号	云南分部	便利店	0878-5212720	NULL	楚雄分部	牟定	楚雄二区	楚雄二区04	2022/7/26 14:26	2021/7/26 0:00			
V2096	89444	自贡蓝鹰花园分店	自贡市自流井区龙汇路蓝鹰花园8栋1层1,2号	四川分部	便利店	0813-5864144	0813-5864144	四川分部	自贡	自贡地区	自贡02	2022/12/16 12:32	2021/7/30 0:00			
V2097	89663	临沧和谐园分店	云南省临沧市临翔区章嘎社区旗山路121号华旭扎路营小区（和谐园）5幢11号	云南分部	便利店	NULL	NULL	临沧分部	临沧	临沧地区	临沧01	2022/7/26 14:53	2021/8/5 0:00			
V2098	89583	重庆二塘路三分店	重庆市南岸区二塘路79号附44号	重庆分部	便利店	NULL	NULL	重庆分部	重庆	重庆一区	重庆一区05	2022/9/2 15:00	2021/7/31 0:00			
V2099	89543	昆明润城八期分店	昆明市润城小区润城八区1栋S115，S116号	云南分部	便利店	0871-64147212	0871-64147212	昆明二部	昆明	昆明西区	昆明西区04	2022/7/26 15:04	2021/7/6 0:00		25.004625	102.703048
V2100	89684	永德教育广场分店	临沧市永德县教育园区学府街项目2栋1层2号	云南分部	便利店	NULL	NULL	临沧分部	永德	孟定地区	孟定04	2022/7/26 14:53	2021/8/27 0:00			
V2101	90003	成都和顺路分店	成都市双流区和顺路一段147，149号1层	四川分部	便利店	028-87089329	028-87089329	四川分部	成都	成都地区	成都03	2022/8/27 11:42	2021/8/7 0:00			
V2102	89844	重庆渝碚路分店	重庆市沙坪坝区渝碚路81-2-1号平街第一间	重庆分部	便利店	NULL	NULL	重庆分部	重庆	重庆三区	重庆三区05	2022/8/13 13:30	2021/7/10 0:00			
V2103	89923	昆明东盟森林二分店	昆明市呈贡洛羊物流片区01-02、01-03地块东盟森林小区D11幢S10-9	云南分部	便利店	NULL	NULL	昆明二部	昆明	郊县地区	郊县地区02	2022/10/21 16:05	2021/7/28 0:00			
V2104	89843	重庆大学城南路二分店	重庆市沙坪坝区大学城南路22号附51号	重庆分部	便利店	NULL	NULL	重庆分部	重庆	重庆三区	重庆三区06	2022/10/11 15:58	2021/8/7 0:00			
V2105	90023	麻栗坡金家园分店	麻栗坡县麻栗镇学府路莱溪小区金家园1-P10,1-C07号，莱溪路莱溪小区金家园1-P11、1-C08号	云南分部	便利店	0876-3052674	0876-3052674	文山分部	麻栗坡	文山地区	文山12	2022/8/8 11:28	2021/8/4 0:00			
V2106	90004	麻栗坡熹晖苑分店	麻栗坡县麻栗镇红岩村民委员会莱溪二期开发区熹晖苑住宅小区2幢5、6号	云南分部	便利店	NULL	NULL	文山分部	麻栗坡	文山地区	文山12	2022/7/26 14:24	2021/8/3 0:00			
V2107	90163	通海礼乐西路三分店	通海县礼乐西路石龙商贸城G幢30至25号一楼	云南分部	便利店	NULL	NULL	玉溪分部	通海	通海地区	通海01	2022/7/26 14:41	2021/7/30 0:00			
V2108	90063	自贡龙湖领御三分店	自贡市沿滩区沿滩新城通达路36号远达、龙湖领御二期4栋商业1-1-1号	四川分部	便利店	0813-5864145	0813-5864145	四川分部	自贡	自贡地区	自贡01	2022/12/16 12:31	2021/8/1 0:00			
V2109	90083	马关安平广场分店	马关县骏城路1幢	云南分部	便利店	NULL	NULL	文山分部	马关	文山地区	文山11	2022/7/26 14:22	2021/8/9 0:00			
V2110	90043	建水翠屏路分店	云南省红河州建水县泽园路（建迎小区）C幢9号	云南分部	便利店	NULL	NULL	红河分部	建水	红河二区	红河二区08	2022/7/26 14:46	2021/8/6 0:00			
V2111	90084	丽江福星路分店	丽江市古城区福星路丽月湖岸南区3幢1层107号	云南分部	便利店	NULL	NULL	丽江分部	丽江	丽江地区	丽江08	2022/7/26 14:42	2021/8/2 0:00		26.879803	100.226914
V2112	90303	禄劝掌鸠河南路分店	昆明市禄劝县屏山镇七队小区（现掌鸠河北路13号）	云南分部	便利店	NULL	NULL	昆明一部	禄劝	昆明北区	昆明北区09	2022/7/26 15:00	2021/8/4 0:00			
V2113	90304	昆明凯旋花园分店	昆明市南三环路凯旋花园南区6栋1层5号	云南分部	便利店	NULL	NULL	昆明二部	昆明	昆明西区	昆明西区04	2022/7/26 14:22	2021/8/4 0:00		25.000517	102.686381
V2114	90403	永德棠梨园分店	云南省临沧市永德县德党镇城北康德大道上侧（城北商业街32幢1层6号）	云南分部	便利店	NULL	NULL	临沧分部	永德	孟定地区	孟定04	2022/11/19 13:26	2021/8/28 0:00			
V2115	90305	宾川金川路分店	云南省大理州宾川县金牛镇金川路与金牛路交叉口（鑫亚酒店旁）一楼3间	云南分部	便利店	NULL	NULL	大理分部	宾川	大理北区	大理北区03	2022/8/25 17:56	2021/7/9 0:00		25.825009	100.588887
V2116	90306	大理苍山东路四分店	云南省大理州大理经济开发区满江街道珠海社区居民委员会山西十二社商贸街安置地29号地块一楼	云南分部	便利店	NULL	NULL	大理分部	大理	大理南区	大理南区01	2022/7/26 14:28	2021/9/19 0:00		25.598464	100.264016
V2117	90463	嵩明兰茂广场分店	嵩明县嵩阳镇黄龙街327号兰茂广场	云南分部	便利店	NULL	NULL	昆明二部	嵩明	郊县地区	郊县地区07	2022/7/26 14:22	2021/7/17 0:00			
V2118	90464	大理大关邑新村分店	云南省大理市下关兴盛大桥北延伸段大关邑新村B2地块一楼	云南分部	便利店	NULL	NULL	大理分部	大理	大理南区	大理南区02	2022/7/26 14:36	2021/8/16 0:00		25.621626	100.221562
V2119	90603	元江滨江明珠小区分店	元江县城滨江路与淇水路交叉口西北角滨江明珠9幢113、114、115号	云南分部	便利店	NULL	NULL	玉溪分部	元江	玉溪地区	玉溪07	2022/7/26 14:55	2021/9/12 0:00			
V2120	90663	昭通钻石花园分店	昭通市昭阳区朱提大道钻石花园1幢Z-01，Z-02号	云南分部	便利店	NULL	NULL	昭通分部	昭通	昭通地区	昭通04	2022/7/26 15:17	2021/7/23 0:00		27.343356	103.735466
V2121	90623	嵩明滨河苑二分店	嵩明县滨河南路9号	云南分部	便利店	NULL	NULL	昆明二部	嵩明	郊县地区	郊县地区07	2022/7/26 14:21	2021/7/17 0:00		103.045103	25.339197
V2122	90844	双柏永兴路分店	双柏县妥甸镇永兴路阳光水岸小区金山苑14，15号	云南分部	便利店	NULL	NULL	楚雄分部	双柏	楚雄二区	楚雄二区09	2022/7/26 15:00	2021/8/25 0:00		101.640344	24.681278
V2123	90843	双柏东兴路分店	双柏县妥甸镇东兴路26号	云南分部	便利店	NULL	NULL	楚雄分部	双柏	楚雄二区	楚雄二区09	2022/7/26 15:04	2021/8/10 0:00		101.642369	24.686756
V2124	90863	大姚金平路分店	大姚县金碧镇金平路	云南分部	便利店	NULL	NULL	楚雄分部	大姚	楚雄一区	楚雄一区07	2022/10/19 14:22	2021/7/17 0:00		101.335646	25.720154
V2125	90865	云县澜山国际分店	云南省临沧市云县澜山国际B组团B区B1幢103号	云南分部	便利店	NULL	NULL	临沧分部	云县	临沧地区	临沧02	2022/7/26 15:01	2021/8/20 0:00		100.138948	24.448169
V2126	90883	保山板桥民新路分店	云南省保山市隆阳区板桥镇民新路农贸市场门口公厕右侧一栋2层半商住楼	云南分部	便利店	NULL	NULL	保山分部	保山板桥	保山地区	保山02	2022/7/26 15:10	2021/8/19 0:00		99.223322	25.172449
V2127	90864	蒙自金泰名苑分店	云南省红河州蒙自市观澜路金泰名苑1层9号	云南分部	便利店	NULL	NULL	红河分部	蒙自	红河一区	红河一区02	2022/7/26 14:28	2021/8/11 0:00		103.386741	23.348062
V2128	90866	马龙云龙路分店	曲靖市马龙区通泉镇云龙路云龙花园小区4区临街房屋	云南分部	便利店	NULL	NULL	曲靖分部	马龙	曲靖南区	曲靖南区04	2022/9/23 15:02	2021/7/26 0:00		103.582883	24.431704
V2129	91043	南华馨安小区分店	南华县龙川镇火星社区龙潭坝安置地馨安小区旁第二幢一层	云南分部	便利店	0878-7290366	0878-7290366	楚雄分部	南华	楚雄二区	楚雄二区08	2022/7/26 14:37	2021/8/23 0:00		101.288053	25.187084
V2130	91023	姚安融和新城小区分店	姚安县栋川镇环城南路融和新城B3-17号，融合和城B3-18号	云南分部	便利店	0878-5711002	NULL	楚雄分部	姚安	楚雄一区	楚雄一区08	2022/7/26 14:27	2021/7/16 0:00		101.240174	25.501482
V2131	90903	保山碧桂园国宾府分店	保山市隆阳区北城片区白塔路南侧、兰城路西侧、拱北路北侧中梁碧桂园国宾府一期18幢06、07号	云南分部	便利店	NULL	NULL	保山分部	保山	保山地区	保山02	2022/7/26 15:10	2021/8/21 0:00		99.190492	25.147807
V2132	91123	普洱御景新城分店	普洱市思茅区旅游环线新锦江御景新城临街商铺11-2号	云南分部	便利店	NULL	NULL	普洱景洪分部	普洱	普洱二区	普洱二区01	2022/7/26 14:23	2021/9/10 0:00		100.957298	22.744872
V2133	90943	蒙自文汇路分店	云南省红河州蒙自市文汇路鼎基铭园小区1幢5单元1层105号	云南分部	便利店	NULL	NULL	红河分部	蒙自	红河一区	红河一区03	2022/7/26 14:53	2021/8/8 0:00		103.362076	23.365359
V2134	90944	丘北三鑫花园分店	丘北县锦屏镇西正街30号	云南分部	便利店	NULL	NULL	文山分部	丘北	文山地区	文山07	2022/7/26 14:37	2021/8/21 0:00		104.194946	24.041579
V2135	91103	普洱茶马古城分店	普洱市思茅区茶马古城旅游小镇8幢1楼8-1002,8-1003,8-1004号	云南分部	便利店	NULL	NULL	普洱景洪分部	普洱	普洱二区	普洱二区01	2022/12/16 12:36	2021/9/10 0:00		100.98245	22.819523
V2136	91083	洱源腾飞路三分店	云南省大理州洱源县玉湖镇洱周路中段南侧商贸小区	云南分部	便利店	NULL	NULL	大理分部	洱源	大理北区	大理北区06	2022/8/1 13:27	2021/10/29 0:00		99.95826	26.113122
V2137	91084	宾川金园路分店	云南省大理州宾川县金牛镇南环路北侧	云南分部	便利店	NULL	NULL	大理分部	宾川	大理北区	大理北区03	2022/8/25 17:54	2021/8/1 0:00		100.574397	25.824123
V2138	91203	临沧茶马古镇分店	云南省临沧市临翔区南信桥社区缅宁大道885号茶马古镇C13幢104号	云南分部	便利店	NULL	NULL	临沧分部	临沧	临沧地区	临沧05	2022/9/28 9:31	2021/10/27 0:00		100.103612	23.868177
V2139	91143	牟定东兴路分店	楚雄州牟定县共和镇东兴路傅家坝客运站旁	云南分部	便利店	0878-5227720	NULL	楚雄分部	牟定	楚雄二区	楚雄二区04	2022/7/26 14:26	2021/9/24 0:00		101.547986	25.319291
V2140	91229	蒙自湖光雅苑分店	红河州蒙自市明珠路与观澜路交叉口北侧湖光雅苑小区5幢2单元商业5-2-1号，车库5-1-4,5-1-5号	云南分部	便利店	NULL	NULL	红河分部	蒙自	红河一区	红河一区03	2022/7/26 14:22	2021/8/23 0:00		103.367488	23.359235
V2141	91163	昆明俊发城郁金苑分店	昆明市盘龙区龙泉街道办事处宝云社区俊发名城N-9-a地块4幢13,15号	云南分部	便利店	0871-63111762	0871-63111762	昆明一部	昆明	昆明东区	昆明东区02	2022/7/26 15:24	2021/8/6 0:00		102.749912	25.109698
V2142	91503	重庆大学城北路分店	重庆市沙坪坝区大学城北路92号附271号	重庆分部	便利店	NULL	NULL	重庆分部	重庆	重庆三区	重庆三区05	2022/8/16 14:46	2021/8/28 0:00		106.29117	29.607648
V2143	91483	昆明金科江湖海分店	昆明市官渡区六甲街道办事处金家社区居民委员会滇池会展北路155号金科廊桥水岸小区9幢1-2层S03号	云南分部	便利店	NULL	NULL	昆明二部	昆明	昆明南区	昆明南区05	2022/10/11 9:31	2021/8/14 0:00		102.695972	24.953402
V2144	91443	呈贡吾悦首府分店	昆明市呈贡区洛龙街道办事处祥和街999号吾悦名郡花园10栋1层S1010,S1011号	云南分部	便利店	NULL	NULL	昆明一部	昆明	呈贡新区	呈贡新区07	2022/7/26 14:23	2021/8/17 0:00		102.829649	24.888447
V2145	1099	金色交响家园分店	昆明市东三环西侧金色交响家园-秋恋组团7幢1层商铺3室、5室	云南分部	便利店	0871-63852212	0871-63140481...	昆明一部	昆明	昆明东区	昆明东区05	2022/7/26 14:25	2015/12/2 0:00		25.044364	102.771074
V2146	1100	王家桥二分店	昆明市五华区街道办事处联家社区居委会王家桥村136号	云南分部	便利店	0871-65381303	0871-65381303	昆明一部	昆明	昆明北区	昆明北区07	2022/12/8 16:34	2015/12/3 0:00		25.086227	102.675885
V2147	1101	王家桥三分店	昆明市五华区普吉街道办事处联家社区居委会王家桥村58号	云南分部	便利店	0871-67199704	0871-67199704	昆明一部	昆明	昆明北区	昆明北区07	2022/8/9 15:46	2015/12/3 0:00		25.086227	102.675885
V2148	1102	白龙潭淏园分店	昆明市白龙潭俊园.淏园第A3-5P-010号商铺	云南分部	便利店	0871-67451687	0871-67451687	昆明一部	昆明	呈贡新区	呈贡新区06	2022/7/26 14:28	2015/12/4 0:00		24.888939	102.850727
V2149	1103	丽江祥和商业广场沃尔玛分店	丽江市古城区祥和商业广场中心区购物中心第F2层2572F2F0038号	云南分部	便利店	0888-5186761	0888-5186761	丽江分部	丽江	丽江地区	丽江01	2022/12/13 13:51	2015/12/10 0:00		26.853446	100.230234
V2150	1104	东盟森林分店	昆明市东盟森林小区C01幢S7-1号	云南分部	便利店	0871-67459650	0871-67129405	昆明二部	昆明	郊县地区	郊县地区02	2022/11/18 18:40	2015/12/21 0:00		24.905784	102.805957
V2151	1105	曲靖翠湖湾分店	曲靖市西苑小区盛华苑325幢第1-2层商铺4号	云南分部	便利店	0874-3311626	0874-3311626	曲靖分部	曲靖	曲靖北区	曲靖北区04	2022/7/26 15:05	2015/12/22 0:00		25.507218	103.774931
V2152	1106	昆明十二棵橡树分店	昆明市十二棵橡树庄园10幢10-7号	云南分部	便利店	0871-63169376	0871-63169376	昆明二部	昆明	昆明南区	昆明南区05	2022/7/26 14:23	2019/5/18 0:00		24.983731	102.758262
V2153	1107	大理凤仪西街分店	云南省大理州大理市凤仪镇凤仪西街70号	云南分部	便利店	0872-2382676	0872-2382676	大理分部	大理凤仪	大理南区	大理南区03	2022/7/26 15:24	2015/12/29 0:00		25.581815	100.31335
V2154	1108	玉溪彩虹小区分店	玉溪市红塔区中卫路与彩虹路交叉口	云南分部	便利店	0877-2667432	0877-2667432	玉溪分部	玉溪	玉溪地区	玉溪02	2022/7/26 15:20	2015/12/31 0:00		24.361625	102.535857
V2155	1109	澄江振兴路分店	澄江县凤麓街道振兴路43号一层	云南分部	便利店	0877-6684199	0877-6688081	玉溪分部	澄江	玉溪地区	玉溪04	2022/7/26 15:20	2019/10/19 0:00		24.666864	102.911909
V2156	520	重庆果塘路店	重庆市渝北区宝圣湖街道果塘路183号汇祥幸福里LG层44-45号	重庆分部	便利店	023-67179219	023-67179219	重庆分部	重庆	重庆二区	重庆二区01	2022/9/26 9:56	2016/1/7 0:00		29.652312	106.582406
V2157	1111	保山五洲国际广场分店	保山市正阳路与学府路交汇处五洲国际1-1317至1322号,1-C009至C012部分	云南分部	便利店	0875-2224906	0875-2205296	保山分部	保山	保山地区	保山01	2022/11/10 18:28	2016/2/28 0:00		25.135788	99.175513
V2158	516	南宁同和慧源分店	南宁西乡塘区鲁班路89号同和慧源栖霞阁13号商铺	广西分部	便利店	0771-5638312	0771-5638312	广西分部	南宁	南宁一区	南宁一区05	2022/10/8 16:58	2016/6/13 0:00		22.843476	108.283361
V2159	507	南宁陈东分店	南宁市西乡塘区大学东路75号一楼850、851、852号商铺	广西分部	便利店	0771-3947103	0771-3947103	广西分部	南宁	南宁一区	南宁一区03	2022/10/8 16:58	2016/6/18 0:00		22.837819	108.263256
V2160	1114	昆明长水机场分店	昆明长水国际机场T1航站楼B2W02区域	云南分部	便利店	0871-65528212	0871-65528212...	昆明二部	昆明	郊县地区	郊县地区02	2022/12/17 14:45	2022/12/8 0:00		102.927547	25.095726
V2161	1115	剑川金狮路分店	大理州剑川县金华镇金狮路腾龙小区一楼A-60、A-61号商铺	云南分部	便利店	0872-4523477	0872-4523477	大理分部	剑川	大理北区	大理北区04	2022/7/26 15:22	2016/7/13 0:00		26.530175	99.907699
V2162	1116	富源金城路分店	富源县建设路（现金城路一幢13、14号）临街商铺	云南分部	便利店	0874-3339352	0874-3339352	曲靖分部	富源	曲靖北区	曲靖北区03	2022/7/26 15:05	2016/7/27 0:00		25.662417	104.252626
V2163	1117	嵩明水真路分店	嵩明县城水真路191楼商铺	云南分部	便利店	0871-67910481	0871-65180174...	昆明二部	嵩明	郊县地区	郊县地区07	2022/11/9 11:53	2016/7/29 0:00		25.336034	103.043751
V2164	409	南宁邕江郡分店	南宁市江南区凤江路6号东盟和城20号楼一层115、116铺	广西分部	便利店	0771-4957631	0771-4957631	广西分部	南宁	南宁一区	南宁一区02	2022/10/8 16:58	2016/8/6 0:00		22.772942	108.322442
V2165	1119	呈贡七彩云南第壹城分店	昆明市呈贡区七彩云南第壹城166天阶地块Q-B1-1F009号	云南分部	便利店	0871-67450127	0871-67450127	昆明一部	昆明	呈贡新区	呈贡新区07	2022/7/26 14:39	2021/9/23 0:00		102.82645	24.875617
V2166	1120	元江向阳路二分店	元江县向阳路中段以北（元龙小区）1幢1-01、02号	云南分部	便利店	0877-6552155	0877-6552155	玉溪分部	元江	玉溪地区	玉溪08	2022/7/26 15:18	2016/8/23 0:00		23.601267	101.994415
V2167	1121	曲靖麒麟嘉园分店	曲靖麒麟东路（麒麟嘉园潮尚街）C1栋1层37、38号商铺	云南分部	便利店	0874-3187791	0874-3187791	曲靖分部	曲靖	曲靖南区	曲靖南区01	2022/7/26 15:17	2016/9/5 0:00		25.500801	103.818326
V2168	1070	富民巨盟大厦分店	富民环城南路421号巨盟大厦一楼商铺	云南分部	便利店	0871-68852883	0871-64316675...	昆明一部	富民	昆明北区	昆明北区10	2022/10/12 16:46	2016/9/13 0:00		25.216963	102.501413
V2169	1122	教场西路口分店	昆明教场中路78号	云南分部	便利店	0871-65130031	0871-65349072...	昆明一部	昆明	昆明北区	昆明北区03	2022/7/28 16:05	2016/9/22 0:00		25.073297	102.696283
V2170	1124	昆明花香四季分店	昆明市五华区普吉路省交通学校旁花香四季一期3幢1层8,9,10,11室	云南分部	便利店	087-163817387	0871-68317471	昆明一部	昆明	昆明北区	昆明北区07	2022/8/9 15:48	2021/11/25 0:00		102.676244	25.075618
V2171	1127	春城慧谷二期分店	昆明市海屯路春城慧谷二期A4地块SP1-3	云南分部	便利店	0871-68315863	0871-68315863	昆明一部	昆明	昆明北区	昆明北区06	2022/11/1 15:47	2016/12/7 0:00		25.086352	102.644113
V2172	1128	春城慧谷一期分店	昆明市黑林铺办事处海源社区春城慧谷小区一期(A2地块)商业2幢1-3层	云南分部	便利店	0871-68338636	0871-63194429...	昆明一部	昆明	昆明北区	昆明北区06	2022/11/1 15:44	2016/12/7 0:00		25.084783	102.644158
V2173	1129	楚雄鹿城西路分店	楚雄市鹿城西路西辰壹品小区A幢108-109室	云南分部	便利店	0878-3166060	0878-3166060	楚雄分部	楚雄	楚雄二区	楚雄二区04	2022/7/26 14:40	2016/12/16 0:00		25.038003	101.538899
V2174	1836	耀龙康城分店	昆明市江东耀龙康城18幢1单元101号商铺	云南分部	便利店	0871-65883925	0871-63154181	昆明一部	昆明	昆明北区	昆明北区02	2022/7/26 15:07	2016/12/17 0:00		25.098168	102.728753
V2175	1888	圆西路分店	昆明市园西路85号一层商铺	云南分部	便利店	0871-65141070	0871-63184770...	昆明一部	昆明	昆明北区	昆明北区04	2022/9/8 9:59	2016/12/17 0:00		25.055216	102.705719
V2176	1131	曲靖龙泉路分店	曲靖麒麟区平安路与彩云交界处(现龙泉路136号)临街商铺	云南分部	便利店	0874-3366562	0874-3366562	曲靖分部	曲靖	曲靖南区	曲靖南区03	2022/7/26 14:28	2016/12/23 0:00		25.474201	103.811107
V2177	1133	滇池卫城紫郢分店	昆明滇池国家旅游度假区红塔东路12号滇池卫城A4区（一期）新天地A区1层商铺33、35、36号商铺	云南分部	便利店	0871-65164115	0871-65164115	昆明二部	昆明	昆明西区	昆明西区03	2022/8/26 17:55	2016/12/26 0:00		24.975151	102.682975
V2178	408	南宁时代茗城分店	南宁市兴宁区望州路90号时代茗城10号楼一层139、140号商铺	广西分部	便利店	0771-2871051	0771-2871051	广西分部	南宁	南宁二区	南宁二区05	2022/10/8 16:58	2016/12/31 0:00		22.832191	108.342865
V2179	1136	湾流海分店	昆明市官渡区官渡街道办事处琥珀俊园(A4地块)1幢6号商	云南分部	便利店	0871-65160734	0871-65160734	昆明二部	昆明	昆明南区	昆明南区07	2022/7/26 15:07	2017/1/1 0:00		24.943902	102.744452
V2180	1137	丽江太和路二分店	丽江市古城区太和西路锦绣苑小区1幢2号(太和路152号)	云南分部	便利店	0888-5116761	0888-5116761	丽江分部	丽江	丽江地区	丽江06	2022/7/26 14:23	2017/1/11 0:00		26.853349	100.224467
V2181	1138	枫林盛景分店	昆明市枫林盛景小区36幢商铺9号	云南分部	便利店	0871-65301675	0871-65301675	昆明二部	昆明	郊县地区	郊县地区03	2022/7/26 15:17	2017/2/4 0:00		24.963404	102.778062
V2182	1139	临沧恒基广场分店	云南省临沧市临翔区沧江路恒基广场B1层2524B1F0020号铺位	云南分部	便利店	0883-2162839	0883-2162839	临沧分部	临沧	临沧地区	临沧01	2022/11/23 17:42	2017/2/5 0:00		23.888118	100.091062
V2183	1140	曲靖麒麟北路分店	曲靖市麒麟北路1号	云南分部	便利店	0874-3332639	0874-3332639/...	曲靖分部	曲靖	曲靖北区	曲靖北区02	2022/7/26 15:05	2017/2/16 0:00		25.507039	103.801407
V2184	1141	宣威金玉花园分店	宣威市振兴中路431号(原振兴街226号)	云南分部	便利店	0874-7933012	0874-7933012	曲靖分部	宣威	曲靖北区	曲靖北区06	2022/11/3 16:55	2017/2/16 0:00		26.217983	104.097144
V2185	406	南宁春江苑分店	南宁市良庆区金沙大道339号阳光新城二组团春江苑12号楼一层21号	广西分部	便利店	0771-4894057	0771-4894057	广西分部	南宁	南宁一区	南宁一区02	2022/10/11 9:29	2021/12/17 0:00		108.341766	22.763125
V2186	1143	石屏西山路分店	石屏县异龙镇西山路(新都昌商业广场)一层1-01号商铺	云南分部	便利店	0873-4909455	0873-4909455/...	红河分部	石屏	红河二区	红河二区05	2022/7/26 15:10	2017/3/1 0:00		23.716208	102.484123
V2187	1144	曲靖锦湘南郡分店	曲靖市南井区子午路(锦湘南郡小区)A1幢第1层P-46号	云南分部	便利店	0874-3337859	0874-3337859	曲靖分部	曲靖	曲靖南区	曲靖南区04	2022/7/26 15:17	2017/3/2 0:00		25.459381	103.805241
V2188	404	南宁香格里拉分店	南宁市青秀区长湖路59号香格里拉花园7、8号楼S25号	广西分部	便利店	0771-5783699	0771-5783699	广西分部	南宁	南宁二区	南宁二区04	2022/10/8 16:59	2017/3/18 0:00		22.823088	108.388144
V2189	1146	金源大道分店	昆明市世纪城茗春苑8幢16号、17号商铺	云南分部	便利店	0871-67351625	0871-63163398...	昆明二部	昆明	昆明南区	昆明南区06	2022/7/26 15:20	2017/3/23 0:00		24.974191	102.757312
V2190	403	南宁领世郡分店	南宁市青秀区中文路10号领世郡1号楼04一层、05号一层	广西分部	便利店	0771-5380533	0771-5380533	广西分部	南宁	南宁二区	南宁二区04	2022/10/8 16:59	2017/3/25 0:00		22.809106	108.395533
V2191	1148	水岸艺城分店	昆明市前兴路时代风华二期小高层1幢商铺10号	云南分部	便利店	0871-63622454	0871-64566528	昆明二部	昆明	昆明西区	昆明西区01	2022/7/26 15:20	2017/3/28 0:00		24.986609	102.712036
V2192	1149	广福雅福园分店	昆明市广福路A3地块"雅福园"A3-SY1栋11#商铺一层	云南分部	便利店	0871-64586596	0871-64586596	昆明二部	昆明	昆明西区	昆明西区02	2022/7/26 15:06	2017/3/29 0:00		24.98944	102.70167
V2193	1150	金泰国际分店	昆明市五华区滇缅大道2411号滇景名筑小区6幢一层S7号、S8号商铺	云南分部	便利店	0871-63346849	0871-68307931	昆明一部	昆明	呈贡新区	呈贡新区01	2022/7/26 14:24	2017/3/30 0:00		25.066005	102.666466
V2194	418	桂林高新万达分店	桂林市七星区穿山东路43号桂林高新万达广场13栋1.2-68号、2-69号	广西分部	便利店	0773-8980752	0773-8980752	广西分部	桂林	桂柳地区	桂柳01	2022/10/8 16:59	2017/4/14 0:00		25.241343	110.319985
V2195	1152	楚雄东兴路分店	云南省楚雄州楚雄市东兴路70号（现东兴58号）商铺	云南分部	便利店	0878-3014716	0878-3014716	楚雄分部	楚雄	楚雄一区	楚雄一区02	2022/10/11 9:29	2017/4/20 0:00		25.035435	101.554329
V2196	1153	滇池源居分店	昆明市西山区前卫西路滇池源居11幢1号商铺	云南分部	便利店	0871-64639916	0871-64639916	昆明二部	昆明	昆明西区	昆明西区02	2022/7/26 15:07	2017/4/21 0:00		24.994605	102.695038
V2197	1154	寻甸广场北路分店	昆明市寻甸县广场北路中段	云南分部	便利店	0871-62652136	0871-62652136	昆明二部	寻甸	郊县地区	郊县地区04	2022/7/26 15:07	2017/4/22 0:00		25.553766	103.258968
V2198	1155	滇池星城分店	昆明市呈贡新城乌龙片区奥宸滇池星城星瑰湾A幢商铺21号,22号	云南分部	便利店	0871-67457522	0871-67457522	昆明一部	昆明	呈贡新区	呈贡新区08	2022/7/26 14:24	2017/4/24 0:00		24.858848	102.798696
V2199	1156	蓝光天娇城分店	昆明市呈贡新区雨花片区颐明园（西区）B-18幢101号	云南分部	便利店	0871-67467822	0871-67467822	昆明一部	昆明	呈贡新区	呈贡新区05	2022/7/26 14:46	2017/4/25 0:00		24.825045	102.822137
V2200	1157	剑川永丰北路分店	云南省大理州剑川县永丰北路4号	云南分部	便利店	0872-4525619	0872-4525619	大理分部	剑川	大理北区	大理北区04	2022/7/26 15:04	2017/4/26 0:00		26.531912	99.90506
V2201	1158	弥勒佛城广场分店	弥勒市温泉路以南拖白路以西佛城广场3幢1层8，9号	云南分部	便利店	0873-6166156	0873-6166156/...	红河分部	弥勒	红河二区	红河二区02	2022/9/28 18:14	2017/5/1 0:00		24.403109	103.439144
V2202	417	重庆阳光华庭店	重庆南岸区南坪街道福红路46号1-1号	重庆分部	便利店	023-63807417	023-63807417	重庆分部	重庆	重庆一区	重庆一区04	2022/9/2 13:27	2017/5/3 0:00		29.537447	106.577954
V2203	1160	大理泰业国际分店	大理市建设路与泰安路交叉口沃尔玛地下一层2722B1F0003	云南分部	便利店	0872-2136973	0872-2136979	大理分部	大理	大理北区	大理北区02	2022/7/26 15:28	2017/5/6 0:00		25.58536	100.225804
V2204	1161	曲靖泽福佳园分店	曲靖市泽福佳园ZF6-12S	云南分部	便利店	0874-3199187	0874-3199187	曲靖分部	曲靖	曲靖北区	曲靖北区05	2022/8/27 16:27	2017/5/6 0:00		25.516244	103.761726
V2205	1162	新平太平路分店	新平县桂山镇新奎阁60号	云南分部	便利店	0877-7771178	0877-7771178	玉溪分部	新平	玉溪地区	玉溪05	2022/7/26 15:20	2017/5/8 0:00		24.068203	101.992884
V2206	1163	蒙自平湖路分店	蒙自市平湖路南侧	云南分部	便利店	0873-3948471	0873-3948471	红河分部	蒙自	红河一区	红河一区02	2022/7/30 11:01	2017/5/10 0:00		23.346341	103.386566
